,Año comercial,RUT,DV,Razón social,Tramo según ventas,Número de trabajadores dependientes informados,Fecha inicio de actividades vigente,Fecha término de giro,Tipo término de giro,Tipo de contribuyente,Subtipo de contribuyente,Tramo capital propio positivo,Tramo capital propio negativo,Rubro económico,Subrubro económico,Actividad económica,Región,Provincia,Comuna,Calle,Número,Bloque,Departamento,Villa,Ciudad,regimen_final,lat,lon
10,2018,76391290,6,INMOB EXPLOT LOC COMERCIALES FELIPE DIDIER EIRL,8,50,2005-11-09,,,PERSONA JURIDICA COMERCIAL,EMPR. INDIVIDUAL RESP. LTDA.,,9.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Providencia,LOS PINONES,43.0,,105,,STGO,r 14 B,-33.4283616,-70.6259084
11,2018,76487519,2,BAKERY EXPRESS SPA,8,20,2015-08-18,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,4.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,EDUARDO MATTE,2154.0,,,,SANTIAGO,r 14 B,-33.47306530000001,-70.6384017
12,2018,76509909,9,ATELIER GASTRONOMICO SPA,8,129,2015-10-30,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,,6.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Huechuraba,CAMINO PUNTA MOCHA,,,,,STGO,r 14 B,-33.3713332,-70.653893
13,2018,77112350,3,SOC COMERCIAL E INDUSTRIAL PRUC CHILE LIMITADA,8,51,1998-03-27,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Maipo,San Bernardo,SAN EXPEDITO,781.0,,,,SANTIAGO,r 14 A,-33.563892,-70.7186942
14,2018,77176110,0,PANIFICADORA COMERCIAL V & S LTDA,8,38,1998-07-21,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,10.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,La Cisterna,SERGIO CEPPI,867.0,,,,STGO,r 14 A,-33.5153576,-70.6679714
15,2018,78844570,9,ESTABLECIMIENTOS COMERCIALES  PAN COLINA LTDA,8,24,1996-06-07,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,,8.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Chacabuco,Colina,INMACULADA  CONCEPCION,60.0,,,,STGO,r 14 A,-33.204555,-70.6753293
16,2018,81113400,7,AMERICAN QUICK LUNCH LIMITADA,8,48,1993-01-01,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,MERCED,802.0,,,,SANTIAGO,r 14 A,-33.4382376,-70.64838510000001
17,2018,52002991,5,COMERCIALIZADORA CODIPAN SPA.,7,9,2004-08-23,,,PERSONA JURIDICA COMERCIAL,EMPR. INDIVIDUAL RESP. LTDA.,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Maipo,Buin,AVENIDA SAN MARTIN,330.0,,,,SANTIAGO,r 14 B,-33.7339757,-70.7354328
18,2018,76048568,3,CENTRO DE DISTRIBUCION DE INSUMOS PARA PANADERIA Y PASTELERIA LIMITADA,7,5,2009-02-23,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Conchalí,AV INDEPENDENDIA,5171.0,,,,SANTIAGO,r 14 ter,-33.38109439999999,-70.6825829
19,2018,76055376,K,COMERCIAL ANJELI LIMITADA,7,13,2009-05-04,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Las Condes,RENATO SANCHEZ,4082.0,PISO,1 Y 2,,STGO,r 14 A,-33.4178693,-70.5875073
20,2018,76055381,6,INVERSIONES HUANEHUE LIMITADA,7,26,2009-05-04,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,8.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Recoleta,PASAJE ROSARIO,2639.0,,,,SANTIAGO,r 14 A,-33.4024273,-70.6496463
21,2018,76125007,8,PANIFICADORA MENDIBURU Y COMPANIA LIMITADA,7,15,2010-12-14,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,6.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Melipilla,Melipilla,ORTUZAR,763.0,,,,MELIPILLA,r 14 A,-33.6891014,-71.215481
22,2018,76153881,0,MAS MASA SPA,7,20,2011-07-06,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,,8.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,,,,,,,r 14 B,-33.4539131,-70.6641192
23,2018,76159652,7,PANIFICADORA JANINA BERNARDA RIVAS MUNOZ E.I.R.,7,22,2011-08-09,,,PERSONA JURIDICA COMERCIAL,EMPR. INDIVIDUAL RESP. LTDA.,8.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Cerro Navia,LA CAPILLA,8454.0,,,,SANTIAGO,r 14 A,-33.4142657,-70.76148479999999
24,2018,76170901,1,PRODUCTOS ALIMENTICIOS DUMONT LIMITADA,7,9,2011-10-14,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Pudahuel,CAMINIO LAS FLORES,20217.0,LOCAL,7 Y 8,CIUDAD DE LOS VALLES,SANTIAGO,r 14 A,-33.394825,-70.51539009999999
25,2018,76177374,7,DISTRIBUIDORA ALFACAT LIMITADA,7,1,2011-11-23,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,5.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Maipú,AV.NUEVA SAN MARTIN,2030.0,,,EL ARRAYANA II,STGO,r 14 A,-33.524788,-70.7879542
26,2018,76177378,K,SOCIEDAD DISTRIBUIDORA DE LEVADURAS Y OTROS LIMITADA,7,4,2011-11-23,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Maipú,BERNARDO OHIGGINS SUR,3220.0,,,,STGO,r 14 A,-33.505364,-70.7980329
27,2018,76177477,8,COMERCIALIZADORA AMASA LIMITADA,7,1,2011-11-23,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,6.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Quilicura,PASAJE QUIYEN,401.0,,,CASAS DE MILLAUQUEN2,SANTIAGO,r 14 A,-33.3533098,-70.7227487
28,2018,76178919,8,DISTRIBUIDORA CLUB PANADEROS LIMITADA,7,4,2011-12-01,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,8.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Recoleta,LONGFELLOW,799.0,,,,SANTIAGO,r 14 A,-33.4061916,-70.6336176
29,2018,76191066,3,COMERCIALIZADORA CASA ITALIA SPA,7,9,2012-02-10,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Quilicura,Villarrica,322.0,B,8,,Santiago,r 14 B,-33.3777289,-70.7576954
30,2018,76197423,8,ALIMENTOS LILLO PASPALI LIMITADA,7,21,2012-04-03,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Las Condes,CALLAO,2970.0,,203 A,,STGO,r 14 ter,-33.4189774,-70.5981169
31,2018,76203097,7,MAILLARD Y DE LA BARRA ASOCIADOS LIMITADA,7,56,2012-06-01,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Ñuñoa,AV. SIMON BOLIVAR,4800.0,,205,,SANTIAGO,r 14 ter,-33.4479654,-70.580456
32,2018,76207831,7,ANDREA RAVERA WEGLINSKI Y COMPANIA LIMITADA,7,9,2012-04-24,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,8.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,SIERRA BELLA,1416.0,,,,SANTIAGO,r 14 ter,-33.4624084,-70.6355105
33,2018,76266995,1,ZANTOS SPA,7,1,2013-03-08,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,5.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Independencia,INDEPENDENCIA,1027.0,,,,STGO,r 14 A,-33.4194035,-70.6558115
34,2018,76275184,4,CAFETERIA TURKY LIMITADA,7,28,2013-05-02,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,,8.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Las Condes,AV. APOQUINDO,2827.0,,108,,STGO,r 14 B,-33.4181437,-70.6002548
35,2018,76283155,4,GISELA ROMINA ALOISIO IMPORTACION Y COMERCIALIZACION DE BOLLERIA E INVERSIONES E,7,17,2013-05-16,,,PERSONA JURIDICA COMERCIAL,EMPR. INDIVIDUAL RESP. LTDA.,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Lo Prado,NEPTUNO,720.0,,12,,STGO,r 14 ter,-33.4451487,-70.7240023
36,2018,76312361,8,COMERCIAL M Y M LIMITADA,7,0,2013-12-17,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Huechuraba,AMERICO VESPUCIO NORTE,1155.0,,,l1-2-3-4,SANTIAGO,r 14 B,-33.4027761,-70.5863069
37,2018,76342102,3,ITALIA MARKET CAFE YURI RIGEL AGHEMIO QUEZADA E.I.R.L.,7,14,2014-01-31,,,PERSONA JURIDICA COMERCIAL,EMPR. INDIVIDUAL RESP. LTDA.,,7.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,SAN MARTIN,702.0,,,,SANTIAGO,r 14 A,-33.4357034,-70.65864619999999
38,2018,76355716,2,PANIFICADORA Y COMERCIALIZADORA ENTRE RIOS LIMITADA,7,1,2014-07-03,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,5.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Cordillera,Puente Alto,AV. CIRCUNVALACION,1445.0,,,ENTRE RIOS,SANTIAGO,r 14 A,-33.6150947,-70.5568536
39,2018,76359747,4,DISTRIBUIDORA DE ALIMENTOS DAILY FRESH SPA,7,0,2014-02-14,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,,9.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Chacabuco,Lampa,EL QUILLAY,573.0,,,,SANTIAGO,r 14 B,-33.3245099,-70.7330147
40,2018,76383860,9,GASTRONOMICA QATIR LIMITADA,7,24,2005-10-28,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Vitacura,AVDA VITACURA,8935.0,Y 8937,,,STGO,r 14 A,-33.38366800000001,-70.550846
41,2018,76396400,0,INVERSIONES AMANECER   LIMITADA,7,16,2005-11-16,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,ALMIRANTE LATORRE,284.0,,,,SANTIAGO,r 14 A,-33.4510722,-70.66447649999999
42,2018,76410045,K,RODRIGUEZ ASENCIO Y COMPANIA LIMITADA,7,19,2014-10-16,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,,9.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Lo Barnechea,AVDA.LAS CONDES,14878.0,,,,STGO,r 14 ter,-33.3638454,-70.4946108
43,2018,76415049,K,R&G S.P.A,7,10,2014-12-01,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,,7.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Las Condes,AV APOQUINDO,4821.0,,105,,SANTIAGO,r 14 ter,-33.4123901,-70.5792264
44,2018,76453502,2,NATNATURAL SPA,7,11,2017-02-01,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,8.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Vitacura,,,,,,,r 14 B,-33.4539131,-70.6641192
45,2018,76465772,1,LA REPOSTERA SPA,7,7,2015-08-25,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,8.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Lo Barnechea,AVDA LA DEHESA,2121.0,,4,,SANTIAGO,r 14 A,-33.3516633,-70.5187978
46,2018,76481269,7,MAZZOTTI Y PEDREROS LIMITADA,7,16,2015-03-31,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,6.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Peñalolén,TOBALABA,13677.0,,LOC.5,,SANTIAGO,r 14 ter,-33.499385,-70.5610283
47,2018,76617393,4,LA COLONIA SPA,7,31,2016-05-06,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,AGUSTINAS,1502.0,,2,,SANTIAGO,r 14 ter,-33.4416584,-70.6581468
48,2018,76631581,K,DISTRIBUIDORA Y COMERCIALIZADORA FABIANA MUÑOZ CAMPOS EMPRESA INDIVIDUAL DE RESP,7,4,2016-07-04,,,PERSONA JURIDICA COMERCIAL,EMPR. INDIVIDUAL RESP. LTDA.,7.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Quinta Normal,NEPTUNO,1597.0,,,,SANTIAGO,r 14 A,-33.4286848,-70.7197809
49,2018,76743793,5,SOCIEDAD COMERCIAL EMILIA SPA,7,5,2017-05-25,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,,7.0,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Maipú,AV. AMERICO VESPUCIO,1076.0,L.2Y 3,,,SANTIAGO,r 14 B,-33.4779437,-70.7570408
